run_id,date,bfs_nodes,bfs_time_ms,bfs_path,bfs_mem_kb,dfs_nodes,dfs_time_ms,dfs_path,dfs_mem_kb
1,2026-04-06 20:07:28,385,6.98,87,50.5,175,1.42,99,23.75
2,2026-04-06 20:10:13,397,6.38,74,50.25,439,4.2,74,56.75
3,2026-04-06 20:10:28,215,3.48,106,27.25,191,1.5,120,26.0
